,Year,State,Coal,Geothermal,Hydroelectric,Natural Gas,Nuclear,Other,Other Gases,Petroleum,Solar Thermal/PV,Total,Wind,Biomass
149,1992,WA,9658148,0,68324659,1273763,5692379,1,234023,25745,0,86482429,0,1273711
150,1992,WI,33833943,0,2401605,379591,11207185,0,0,155249,0,48893401,0,915828
151,1992,WV,73352552,0,1271063,120856,0,50,174182,241211,0,75159914,0,0
152,1992,WY,41380784,0,635640,341257,0,45396,8642,58483,0,42473894,0,3692
153,1993,AK,533123,0,1302992,3191814,0,0,0,587422,0,5721277,0,105926
154,1993,AL,67336321,0,9034210,1260978,17823325,0,338105,192944,0,99336996,0,3351113
155,1993,AR,18091528,0,4509292,2703261,13521676,0,0,73127,0,40498654,0,1599770
156,1993,AZ,37272195,0,6697088,1936549,22048880,0,0,85442,0,68468986,0,102849
157,1993,CA,3129951,14948113,40492526,79644169,31580692,11423,3097462,3601682,462078,186990642,2983640,6755982
158,1993,CO,30701319,0,1911842,1510863,0,0,0,8966,0,34240183,0,34448
159,1993,CT,3508317,0,414685,1383916,21801782,0,0,4384501,0,32884571,0,1395624
160,1993,DC,0,0,0,0,0,0,0,188452,0,188452,0,0
161,1993,DE,5374615,0,0,1029190,0,6049,103206,2504620,0,9017680,0,0
162,1993,FL,63138674,0,210776,20754801,25886864,1676955,72413,34727092,0,151934156,0,5466581
163,1993,GA,64252566,0,4456651,696214,27233352,0,0,1137913,0,101447571,0,3326431
164,1993,HI,1479074,152249,56243,0,0,0,63068,7393981,0,9943687,21944,777128
165,1993,IA,27531644,0,747182,448989,3235009,0,0,56925,0,32049013,0,29264
166,1993,ID,39299,0,9715485,156736,0,74844,0,432,0,10533433,0,546637
167,1993,IL,61490315,0,130194,2126611,78373458,0,347139,734092,0,143453091,0,251282
168,1993,IN,99676953,0,448400,974598,0,0,2130459,372274,0,103635138,0,32454
169,1993,KS,26799665,0,4985,1942454,7899543,0,0,95862,0,36742567,58,0
170,1993,KY,81722246,0,3155113,23632,0,0,0,96727,0,84997718,0,0
171,1993,LA,19411728,0,1231946,36355225,14398103,716315,700587,3487566,0,78975535,0,2674065
172,1993,MA,9930394,0,882373,9050108,4338685,0,0,11591852,0,37079208,0,1964605
173,1993,MD,25126979,0,1658271,772304,12300816,0,475788,4164790,0,44977888,0,478940
174,1993,ME,549170,0,3245780,9878,5739866,0,4788,1863091,0,15614272,0,4201699
175,1993,MI,63959080,0,1761842,10020213,28525000,37111,3371,761575,0,106368549,0,2073571
176,1993,MN,28652362,0,1150808,512693,11986053,0,0,637904,0,44040635,185,1100630
177,1993,MO,40983960,0,3184483,439974,8381333,0,0,635278,0,53552969,0,2248
178,1993,MS,8880214,0,0,3604647,7903547,0,0,3600540,0,25941526,0,1952578
179,1993,MT,14082858,0,9614088,34920,0,0,0,22069,0,23872854,0,118919
180,1993,NC,63572654,0,4987070,394750,23758927,234982,0,407255,0,95314444,0,1712504
181,1993,ND,27140713,0,1415110,7076,0,0,39393,61118,0,28663410,0,0
182,1993,NE,14776211,0,1001663,153065,6805133,0,0,19035,0,22760857,0,5750
183,1993,NH,3263241,0,1410609,11503,9046805,0,0,1304573,0,16242760,0,1206029
184,1993,NJ,5465771,0,19005,15545039,24932240,0,86860,1475224,0,48344882,0,943977
185,1993,NM,25507029,0,293827,2888566,0,0,0,43290,0,28744528,0,11816
186,1993,NV,15627860,1540055,1972180,4033198,0,2198,0,326981,0,23502472,0,0
187,1993,NY,24501966,0,29443296,27075267,26889261,0,90980,15072965,0,124221031,0,2282998
188,1993,OH,123795912,0,189613,371452,10010661,0,128520,346002,0,135237292,0,395132
189,1993,OK,31692175,0,4357456,16762567,0,0,89656,56319,0,53159673,0,262544
190,1993,OR,3520392,0,35864080,1778067,-21276,0,0,33668,0,41909585,0,734654
191,1993,PA,108131818,0,2376466,3869669,59330534,207510,1097975,5013320,0,181214132,0,2070887
192,1993,RI,0,0,9385,4508632,0,0,0,72481,0,4665296,0,74798
193,1993,SC,27239959,0,2950139,207716,46188884,7517,24411,202239,0,78174835,0,1593086
194,1993,SD,2641582,0,2591115,10527,0,0,0,12287,0,5255511,0,0
195,1993,TN,61094822,0,8954227,292727,3304836,68236,2681,239106,0,73884199,0,487722
196,1993,TX,131046002,0,1786405,147294114,12406774,401130,3281370,1854468,366,299688715,0,1618086
197,1993,UT,32125793,148148,860019,606099,0,0,281457,36586,0,34058102,0,0
198,1993,VA,29410001,0,1313303,4378066,22688763,0,0,2500809,8,61243510,0,1726645
199,1993,VT,0,0,981286,20558,3372148,0,0,5029,0,4643765,0,264744
200,1993,WA,8835079,0,67312383,3197945,7134966,7,222852,59434,0,87995776,0,1233110
201,1993,WI,34550945,0,2486587,411676,11464574,0,0,335556,0,50238552,0,989214
202,1993,WV,72968665,0,1114101,158242,0,36,271186,236934,0,74749164,0,0
203,1993,WY,39507092,0,787427,365540,0,42843,2071,66381,0,40771354,0,0
204,1994,AK,502866,0,1345407,3401175,0,0,0,562644,0,5966516,0,154424
205,1994,AL,63304075,0,11429120,1248034,20479759,0,328383,244984,0,100764257,0,3729902
206,1994,AR,19852118,0,3462641,3125327,13923701,1837,0,99613,0,42032148,0,1566911
207,1994,AZ,38343130,0,7365425,2483535,23170894,0,0,152170,0,71934496,0,114905
208,1994,CA,3271691,13660402,23012615,94431800,33752237,14125,2959314,3411141,486318,186191991,3387128,6870371
209,1994,CO,31636583,0,1544037,2320742,0,0,0,10220,0,35651911,0,28462
210,1994,CT,3622776,0,481162,1898585,20159938,0,0,3543562,0,31178917,0,1470099
211,1994,DC,0,0,0,0,0,0,0,274252,0,274252,0,0
212,1994,DE,4949403,0,0,2130417,0,7970,100885,2041601,0,9230276,0,0
213,1994,FL,63465108,0,274474,26151929,26682107,2051342,34879,33897384,0,158146846,0,5589623
